OFFSCREENDENLNR: 48><661.5><48><661.5><0><
//FloodForge;ROOM|lnr_lpobligatoryballsroom|merge
//FloodForge;ROOM|lnr_lp03|merge
//FloodForge;ROOM|lnr_legside|merge
//FloodForge;ROOM|lnr_sand03|merge
//FloodForge;ROOM|lnr_sandtoll|merge
//FloodForge;ROOM|lnr_sand02|merge
//FloodForge;ROOM|lnr_sand01|merge
//FloodForge;ROOM|lnr_brick01|merge
//FloodForge;ROOM|lnr_cave07|merge
//FloodForge;ROOM|lnr_sand08|merge
//FloodForge;ROOM|lnr_sand09|merge
//FloodForge;ROOM|lnr_bridgebase|merge
//FloodForge;ROOM|lnr_bridge01|merge
//FloodForge;ROOM|lnr_brick06|merge
//FloodForge;ROOM|lnr_bridge02|merge
//FloodForge;ROOM|lnr_sand10|merge
//FloodForge;ROOM|lnr_brick07|merge
//FloodForge;ROOM|lnr_sand12|merge
//FloodForge;ROOM|lnr_cave10|merge
//FloodForge;ROOM|lnr_cave11|merge
//FloodForge;ROOM|lnr_brick02|merge
//FloodForge;ROOM|lnr_sbrick|merge
//FloodForge;ROOM|lnr_sbrick02|merge
//FloodForge;ROOM|lnr_cave02|merge
//FloodForge;ROOM|lnr_sleg|merge
//FloodForge;ROOM|lnr_legtop|merge
//FloodForge;ROOM|lnr_slptop|merge
//FloodForge;ROOM|lnr_sand11|merge
//FloodForge;ROOM|lnr_oe02|merge
//FloodForge;ROOM|lnr_sand05|merge
//FloodForge;ROOM|lnr_tunnel01|merge
//FloodForge;ROOM|lnr_tunnel02|merge
//FloodForge;ROOM|lnr_tunnel03|merge
//FloodForge;ROOM|lnr_tunnel05|merge
//FloodForge;ROOM|lnr_tunnelcave01|merge
//FloodForge;ROOM|lnr_tunnelcave02|merge
//FloodForge;ROOM|lnr_tunneldome|merge
//FloodForge;ROOM|lnr_tunnelfishy|merge
//FloodForge;ROOM|lnr_secret|merge
//FloodForge;ROOM|lnr_tunnelmerch|merge
//FloodForge;ROOM|lnr_stunnel|merge
//FloodForge;ROOM|lnr_sand07|merge
//FloodForge;ROOM|lnr_tunnelpit|merge
//FloodForge;ROOM|lnr_scave|merge
//FloodForge;ROOM|lnr_cave01|merge
//FloodForge;ROOM|lnr_brick04|merge
//FloodForge;ROOM|lnr_shaft01|merge
//FloodForge;ROOM|lnr_brick03|merge
//FloodForge;ROOM|lnr_sand04|merge
//FloodForge;ROOM|lnr_brick05|merge
//FloodForge;ROOM|lnr_archivestash|merge
//FloodForge;ROOM|lnr_sand06|merge
//FloodForge;ROOM|lnr_cave08|merge
//FloodForge;ROOM|lnr_cave09|merge
//FloodForge;ROOM|lnr_sand13|merge
//FloodForge;ROOM|lnr_tunnel04|merge
//FloodForge;ROOM|lnr_tunnelcollapse|merge
//FloodForge;ROOM|lnr_archive01|merge
//FloodForge;ROOM|lnr_archive02|merge
//FloodForge;ROOM|lnr_archivepit|merge
//FloodForge;ROOM|lnr_easttower|merge
//FloodForge;ROOM|gate_lnr_oe
//FloodForge;ROOM|lnr_soe|merge
//FloodForge;ROOM|gate_lnr_si
Connection: LNR_EASTBRIDGE,LNR_EASTTOWER,14,15,35,103,3,0
Connection: LNR_EASTBRIDGE,LNR_LEG,98,15,10,14,3,2
Connection: LNR_LP07,LNR_LP06,96,84,48,6,3,3
Connection: LNR_LP07,LNR_LEGCONNECTOR,16,12,102,23,2,0
Connection: LNR_LP07,LNR_LPINSIDE08,92,8,6,7,3,2
Connection: LNR_LP06,LNR_LP05,13,120,8,15,3,0
Connection: LNR_LP06,LNR_LPINSIDE06,62,85,8,82,0,2
Connection: LNR_LP05,LNR_LPINSIDE05,61,18,8,9,0,2
Connection: LNR_LP04,LNR_LPINSIDE04,104,128,6,13,0,2
Connection: LNR_LP04,LNR_LPINSIDE05,63,13,8,28,0,2
Connection: LNR_CAVE03,LNR_CAVE01,7,12,156,15,2,0
Connection: LNR_CAVE03,LNR_CAVE04,27,9,10,32,3,1
Connection: LNR_CAVE04,LNR_CAVE05,103,12,11,6,0,2
Connection: LNR_CAVE05,LNR_OE04,41,37,11,16,1,3
Connection: LNR_OE04,LNR_OE03,98,19,9,13,3,2
Connection: LNR_OE04,LNR_CAVE06,86,13,12,60,3,1
Connection: LNR_OE03,LNR_OE02,107,9,10,14,3,2
Connection: LNR_CAVE06,LNR_OE02,119,26,14,5,1,3
Connection: LNR_LEG,LNR_LEGCONNECTOR,36,143,4,7,0,2
Connection: LNR_LEG,LNR_LEGSIDE,10,94,46,5,2,3
Connection: LNR_LPINSIDE08,LNR_LPINSIDE07,47,27,12,12,1,3
Connection: LNR_LPINSIDE07,LNR_LPINSIDE06,8,63,8,15,2,2
Connection: LNR_LPINSIDE04,LNR_LP03,60,13,8,8,0,2
Connection: LNR_LPINSIDE02,LNR_LPINSIDE03,132,35,22,5,1,3
Connection: LNR_LPINSIDE02,LNR_LP03,13,6,255,8,2,0
Connection: LNR_LPINSIDE03,LNR_LPOBLIGATORYBALLSROOM,7,31,53,6,2,0
Connection: LNR_LPINSIDE01,LNR_LP01,10,65,33,13,2,0
Connection: LNR_LPINSIDE01,LNR_LPOBLIGATORYBALLSROOM,10,10,57,100,2,0
Connection: LNR_LPTUBE,LNR_LPPIPES,85,24,23,5,1,3
Connection: LNR_LPTUBE,LNR_LP01,4,10,46,91,2,0
Connection: LNR_CRATE04,LNR_CRATE01,8,10,58,27,2,0
Connection: LNR_CRATE04,LNR_CRATE05,34,7,12,30,3,1
Connection: LNR_CRATE01,LNR_CRATE03,58,22,10,6,0,3
Connection: LNR_CRATE01,LNR_LPINSIDE06,21,16,86,103,2,0
Connection: LNR_CRATE01,LNR_CRATE02,46,10,8,22,0,2
Connection: LNR_CRATE01,LNR_SLPCRATE,37,6,11,28,3,1
Connection: LNR_CRATE02,LNR_CRATE03,24,35,31,6,1,3
Connection: LNR_CRATE02,LNR_CRATE05,48,10,5,21,0,2
Connection: LNR_CRATE02,LNR_SLPCRATE,29,4,29,26,3,1
Connection: LNR_CRATE05,LNR_CRATE06,32,5,37,30,3,1
Connection: LNR_CRATE06,LNR_SLPCRATE,4,10,52,22,2,0
Connection: LNR_CRATE06,LNR_CRATE07,9,2,20,29,3,1
Connection: LNR_CRATE07,LNR_SLPCRATE,1,12,47,5,1,3
Connection: LNR_SLPCRATE,LNR_LPINSIDE06,6,19,104,50,2,0
Connection: LNR_LP01,LNR_SLPTOP,46,136,16,14,0,3
Connection: LNR_LEGSIDE,LNR_LEGTOP,46,21,13,8,3,3
Connection: LNR_SAND03,LNR_BRICK01,6,21,61,5,2,0
Connection: LNR_SAND03,LNR_SAND02,215,10,2,17,0,2
Connection: LNR_SAND03,LNR_SHAFT01,134,8,24,41,3,1
Connection: LNR_SANDTOLL,LNR_BRICK02,5,13,49,8,2,0
Connection: LNR_SANDTOLL,LNR_BRICK01,151,10,4,11,0,2
Connection: LNR_SAND02,LNR_SAND01,59,17,8,61,0,2
Connection: LNR_SAND01,LNR_EASTTOWER,153,17,11,12,0,2
Connection: LNR_BRICK01,LNR_BRICK03,24,6,146,24,3,0
Connection: LNR_CAVE07,LNR_SAND08,48,61,9,13,0,2
Connection: LNR_CAVE07,LNR_SAND07,7,21,192,49,2,0
Connection: LNR_CAVE07,LNR_SAND05,52,11,18,52,0,2
Connection: LNR_SAND08,LNR_SAND09,100,12,7,7,0,2
Connection: LNR_SAND09,LNR_BRIDGEBASE,42,16,17,15,0,2
Connection: LNR_BRIDGEBASE,LNR_BRICK06,14,85,35,13,2,3
Connection: LNR_BRIDGE01,LNR_BRICK06,3,20,31,61,2,0
Connection: LNR_BRIDGE01,LNR_BRIDGE02,198,16,20,16,3,3
Connection: LNR_BRICK06,LNR_SAND10,4,11,159,21,2,3
Connection: LNR_SAND10,LNR_BRICK07,3,16,35,6,2,0
Connection: LNR_BRICK07,LNR_SBRICK02,14,33,15,5,1,3
Connection: LNR_BRICK07,LNR_SAND11,6,6,313,12,2,0
Connection: LNR_SAND12,LNR_SAND11,209,11,3,47,0,2
Connection: LNR_CAVE10,LNR_CAVE11,45,31,9,3,0,2
Connection: LNR_CAVE10,LNR_CAVE09,30,7,66,30,0,1
Connection: LNR_CAVE11,LNR_SAND07,39,18,9,19,0,2
Connection: LNR_BRICK02,LNR_BRICK05,33,25,28,3,1,3
Connection: LNR_BRICK02,LNR_SAND05,6,8,159,13,2,0
Connection: LNR_BRICK02,LNR_SBRICK,22,8,30,15,3,1
Connection: LNR_CAVE02,LNR_TUNNELPIT,23,32,45,11,1,0
Connection: LNR_CAVE02,LNR_CAVE01,59,15,9,11,0,2
Connection: LNR_CAVE02,LNR_TUNNEL01,23,4,87,73,3,1
Connection: LNR_SLEG,LNR_LEGTOP,25,30,31,21,1,3
Connection: LNR_SAND05,LNR_SAND06,95,14,158,25,2,0
Connection: LNR_TUNNEL01,LNR_TUNNEL03,7,21,107,12,2,0
Connection: LNR_TUNNEL01,LNR_TUNNEL02,7,12,168,21,2,0
Connection: LNR_TUNNEL02,LNR_TUNNEL04,8,21,159,15,2,0
Connection: LNR_TUNNEL03,LNR_TUNNELDOME,12,12,47,8,2,0
Connection: LNR_TUNNEL05,LNR_TUNNEL04,86,24,76,8,1,3
Connection: LNR_TUNNEL05,LNR_TUNNELCAVE01,13,12,57,52,2,0
Connection: LNR_TUNNELCAVE01,LNR_TUNNELCAVE02,9,10,56,9,2,0
Connection: LNR_TUNNELCAVE02,LNR_TUNNELFISHY,6,13,268,59,2,0
Connection: LNR_TUNNELDOME,LNR_TUNNELMERCH,34,32,15,12,1,2
Connection: LNR_TUNNELDOME,LNR_TUNNELCOLLAPSE,12,8,57,11,2,0
Connection: LNR_TUNNELFISHY,LNR_SECRET,94,13,41,22,1,1
Connection: LNR_STUNNEL,LNR_TUNNELCOLLAPSE,28,13,6,49,3,2
Connection: LNR_TUNNELPIT,LNR_BRICK04,14,28,40,9,2,3
Connection: LNR_TUNNELPIT,LNR_SAND04,45,28,7,22,0,2
Connection: LNR_TUNNELPIT,LNR_SCAVE,14,11,39,14,2,0
Connection: LNR_CAVE01,LNR_SAND04,36,30,155,7,1,3
Connection: LNR_CAVE01,LNR_SHAFT01,126,27,24,10,1,3
Connection: LNR_BRICK04,LNR_BRICK03,43,26,10,13,0,2
Connection: LNR_ARCHIVESTASH,LNR_ARCHIVE01,10,16,59,56,2,0
Connection: LNR_SAND06,LNR_CAVE08,11,28,49,10,2,0
Connection: LNR_SAND06,LNR_ARCHIVEPIT,98,8,35,140,0,0
Connection: LNR_CAVE08,LNR_CAVE09,5,18,105,19,2,0
Connection: LNR_CAVE09,LNR_SAND13,11,15,243,7,2,0
Connection: LNR_TUNNEL04,LNR_TUNNELCOLLAPSE,111,28,11,11,1,2
Connection: LNR_TUNNEL04,LNR_ARCHIVE01,12,15,59,10,2,0
Connection: LNR_ARCHIVE01,LNR_ARCHIVEPIT,7,56,35,9,2,0
Connection: LNR_ARCHIVE01,LNR_ARCHIVE02,7,10,95,8,2,0
Connection: LNR_ARCHIVE02,LNR_ARCHIVEPIT,33,62,9,16,0,2
Connection: LNR_OE02,GATE_LNR_OE,93,8,2,9,0,2
Connection: LNR_SOE,GATE_LNR_OE,15,14,6,6,0,3
Connection: LNR_LPPIPES,GATE_LNR_SI,97,27,2,9,0,2
